규모,지역,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11
소형,전국,95.7,95.95,95.4,95.35,95.6,95.45,95.7,95.85,96.35,97.05,97.9,98.6,99.15,99.3,98.8,98.5,98.75,98.9,98.95,99.15,99.9,100.8,100.45,100.55,100.65,100,99.5,99.8,99.8,99.55,99.3,98.6,98.2,98.35,99.7,100.4,99.3,97.95,97.15,96.65,95.95,95.6,95.4,95.4,96,95.9,95.95,95.9,96.7,97.85
중소형,전국,95.7,95.6,95.2,94.9,95.1,94.9,94.9,94.9,95.3,95.9,96.6,97.4,98.2,98.3,98.2,97.7,97.9,98.1,97.9,98.2,98.8,99.6,99.8,100,100.2,100,99.7,100.1,100.5,100.4,100.3,100.3,100.2,100.5,102.2,102.5,101.7,100.9,100.1,99.5,99,98.7,98.7,99.1,100,100.6,100.9,101.5,102.3,104.1
중대형,전국,93.7,93.8,93.4,93.2,93.5,93.1,93.1,93.2,93.7,94.1,94.8,95.8,96.6,96.9,96.8,96.6,96.7,97,96.9,97.3,97.9,98.9,99.2,99.4,100,100,100.1,100.9,101.3,101.5,101.6,101.6,101.9,102.7,105.1,105.4,104.6,103.8,103.2,103.2,102.1,102,102.2,103,104.9,105.1,105.6,106.3,107.6,109.6
대형,전국,92.9,93.4,92.6,92.8,93.1,93.2,93,93,93.7,94.2,95,96,96.8,97.1,96.3,96.1,96.8,97,97.1,98,98.6,99.1,99.4,100.2,100.3,100,100.6,101.7,102.3,102.8,102.9,103.1,102.9,103.9,106.1,107.3,106.2,105.6,104.7,103.8,104.1,103.4,105,105,107.7,107.7,108.3,108,109.9,111.7
소형,수도권,88.9,89.25,89.1,89.1,89.25,89.4,90,90.6,91.75,93.1,94.55,95.6,96.5,96.5,95.95,95.7,95.65,96.15,96.55,97.2,98.6,100.25,100.2,100.35,100.8,100,100,100.75,101.15,101.3,101.15,100.95,100.85,101.3,104.05,106.05,105.1,103.7,103.2,102.3,101.65,101.1,101,101.7,102.8,103.3,103.7,103.8,104.95,106.4
중소형,수도권,91.1,91.2,90.8,90.6,90.7,90.7,90.9,91.3,91.9,92.8,93.7,94.7,95.8,95.8,95.5,95.2,95.3,95.7,95.7,96.4,97.5,98.8,99.3,99.6,100.1,100,100,100.9,101.7,102.2,102.3,102.7,102.8,103.7,106.2,107.3,106.9,106.2,105.5,104.7,104.3,103.8,104.1,104.9,106.6,108.8,109.4,110.4,111.7,113.5
중대형,수도권,91.2,91.1,90.8,90.7,90.7,90.5,90.8,91.2,91.8,92.5,93.3,94.4,95.2,95.4,95.1,94.9,94.9,95.4,95.4,96.2,97.1,98.5,98.7,99.2,99.9,100,100.5,101.6,102.4,102.8,103.3,103.5,103.9,105,108,108.8,108.4,107.8,107.1,107.2,105.9,106,106.3,107.1,109.4,111.1,111.7,113,114.6,116.2
대형,수도권,91.7,92.3,91.3,91.5,91.9,91.5,91.5,91.6,92.4,93,94.2,94.5,95.4,95.5,94.9,94.7,95.3,95.4,95.6,97,97.5,98.7,99.1,99.5,99.9,100,100.6,102.3,102.9,103.7,103.8,104.2,104.4,106.2,108.3,109.9,109,108.8,106.8,107.4,105.9,106.5,107.2,107.9,111.2,112.8,114.1,114.1,116.1,118
소형,지방,100.7,100.7,99.8,99.7,100.1,99.8,99.8,99.6,99.6,99.75,100.15,100.6,100.9,101.15,100.7,100.35,100.8,100.75,100.5,100.45,100.55,100.75,100.45,100.6,100.45,100,99.15,99,98.85,98.25,97.95,96.85,96.25,96.05,95.75,95.65,95.45,94.45,93.4,93.35,92.65,92.3,91.95,91.3,91.3,90.65,90.55,90.35,90.9,91.9
중소형,지방,100,99.7,99.1,98.7,99.1,98.7,98.5,98.2,98.4,98.7,99.2,99.9,100.4,100.6,100.5,99.8,100.1,100.2,99.9,99.8,99.9,100.2,100.3,100.3,100.3,100,99.3,99.2,99.2,98.8,98.4,98.1,97.6,97.2,97.4,97.7,97.5,97.1,96.1,95.7,95.3,94.8,94.7,94.5,94.5,93.7,93.9,94.2,94.5,96.4
